Date,Price,Open,High,Low,Vol.,Change %
11/01/2006,119.7,108,121.5,107.4,228.70K,10.58%
10/01/2006,108.25,107.1,110,100.9,208.29K,0.56%
09/01/2006,107.65,103.3,108.6,98,80.43K,3.51%
08/01/2006,104,98.75,109.5,97.5,205.97K,4.68%
07/01/2006,99.35,100,103,93.5,89.75K,-0.15%
06/01/2006,99.5,98.55,103,94.5,173.77K,0.56%
05/01/2006,98.95,108.5,111.5,97.1,117.27K,-7.70%
04/01/2006,107.2,106.5,113.9,103.8,169.99K,0.19%
03/01/2006,107,111.25,113.3,102.8,92.31K,-4.29%
02/01/2006,111.8,118.5,119.75,103.8,156.80K,-5.41%
01/01/2006,118.2,107.5,125.9,106.2,245.62K,10.36%
12/01/2005,107.1,92.5,108.4,91,74.70K,15.16%
11/01/2005,93,97,108.5,92.25,154.07K,-3.78%
10/01/2005,96.65,93.5,106.8,91.6,188.61K,3.42%
09/01/2005,93.45,99.75,101.75,87.5,53.80K,-4.40%
08/01/2005,97.75,102.5,108.5,91.6,162.40K,-5.24%
07/01/2005,103.15,106,107.25,94.4,78.67K,-1.43%
06/01/2005,104.65,118.5,126.75,101.7,176.04K,-11.58%
05/01/2005,118.35,124,125,115,73.44K,-5.43%
04/01/2005,125.15,126.4,132.25,109.75,182.29K,-0.99%
03/01/2005,126.4,119.5,137,118.75,109.15K,6.08%
02/01/2005,119.15,104.25,124.1,103.3,177.30K,13.10%
01/01/2005,105.35,103.25,106.25,95.1,206.51K,1.54%
12/01/2004,103.75,94,108.7,91,90.23K,9.85%
11/01/2004,94.45,74.7,96.5,73.8,159.60K,26.95%
10/01/2004,74.4,81.2,81.3,71.9,200.98K,-9.65%
09/01/2004,82.35,70,86.4,67,119.79K,18.83%
08/01/2004,69.3,66.25,71,64.8,154.25K,4.29%
07/01/2004,66.45,72.9,74.3,66.2,87.00K,-9.10%
06/01/2004,73.1,85.55,86.15,70.5,183.35K,-14.55%
05/01/2004,85.55,67,86.5,67,143.32K,27.40%
04/01/2004,67.15,74,74.4,66.8,149.90K,-8.95%
03/01/2004,73.75,74.8,78.1,70.85,86.35K,-1.73%
02/01/2004,75.05,74,76.8,69,153.49K,-0.60%
01/01/2004,75.5,64.65,79.2,64,276.33K,16.24%
12/01/2003,64.95,57.9,65,57.6,26.62K,12.47%
11/01/2003,57.75,59,61.2,56.4,124.22K,-1.53%
10/01/2003,58.65,63.4,66.9,58.6,216.34K,-6.76%
09/01/2003,62.9,61.8,70.75,60.5,55.95K,2.36%
08/01/2003,61.45,64,66.75,59,123.67K,-3.15%
07/01/2003,63.45,59,64.1,58,70.42K,7.72%
06/01/2003,58.9,58.5,61.75,55.8,99.10K,0.94%
05/01/2003,58.35,68.7,70,58.1,82.83K,-14.51%
04/01/2003,68.25,58.75,68,57,129.78K,16.37%
03/01/2003,58.65,56.25,61.5,55.3,44.88K,3.17%
02/01/2003,56.85,64.8,67.25,56.8,98.32K,-12.94%
01/01/2003,65.3,60.5,69.5,60.25,141.48K,8.47%
12/01/2002,60.2,67,68.5,56.5,37.12K,-9.61%
11/01/2002,66.6,64.75,69,62.75,93.40K,0.99%
10/01/2002,65.95,54.25,73.5,54.25,170.57K,21.01%
09/01/2002,54.5,51.5,62.5,50.4,55.15K,5.83%
08/01/2002,51.5,46.5,51.75,46,95.63K,10.04%
07/01/2002,46.8,46.5,51.8,46.5,31.45K,0.65%
06/01/2002,46.5,51.8,52,46.1,82.92K,-10.40%
05/01/2002,51.9,50.5,53.1,47,36.23K,2.37%
04/01/2002,50.7,56.5,59.7,48.5,113.35K,-11.36%
03/01/2002,57.2,45,57.4,44.95,49.52K,27.82%
02/01/2002,44.75,44,50.5,42.7,88.89K,-0.78%
01/01/2002,45.1,45.5,51.6,44.5,126.42K,-2.38%
12/01/2001,46.2,42.75,50,41.5,33.24K,8.45%
11/01/2001,42.6,43.7,50,41.9,90.66K,-2.96%
10/01/2001,43.9,47.6,48,42.2,93.45K,-9.11%
09/01/2001,48.3,50,50.4,46.25,24.43K,-4.36%
08/01/2001,50.5,51.5,54.9,48.1,103.14K,-2.79%
07/01/2001,51.95,55.9,56,50.6,41.90K,-7.40%
06/01/2001,56.1,58.25,61.7,54.1,87.23K,-1.84%
05/01/2001,57.15,62.25,66.8,57.1,46.95K,-7.60%
04/01/2001,61.85,60,62.5,56,80.38K,2.57%
03/01/2001,60.3,63.75,66.8,58.85,37.20K,-5.63%
02/01/2001,63.9,64,65.5,59.25,80.92K,0.24%
01/01/2001,63.75,65.1,72.5,62,130.75K,-2.75%
12/01/2000,65.55,68.2,69,61.75,31.26K,-2.46%
11/01/2000,67.2,75,75.95,67.15,79.34K,-9.68%
10/01/2000,74.4,81,91,73.35,121.34K,-10.36%
09/01/2000,83,75.5,84.4,72.2,45.39K,11.41%
08/01/2000,74.5,86.5,87.75,73.5,75.82K,-13.82%
07/01/2000,86.45,84.75,119,79.75,47.77K,1.89%
06/01/2000,84.85,93.05,97.25,84,98.08K,-8.76%
05/01/2000,93,96,104.7,90.35,62.77K,-2.41%
04/01/2000,95.3,103.1,103.7,91.95,96.50K,-8.10%
03/01/2000,103.7,101.25,109,100.25,39.10K,3.80%
02/01/2000,99.9,110.5,114.5,98,93.74K,-10.08%
01/01/2000,111.1,122.25,126,110.5,120.09K,-11.76%
12/01/1999,125.9,130,145,115.35,44.89K,-3.41%
11/01/1999,130.35,105,130.25,101.8,83.44K,30.09%
10/01/1999,100.2,80,120,80,185.24K,21.53%
09/01/1999,82.45,87,93,80.15,45.40K,-4.41%
08/01/1999,86.25,90.4,102,84,98.20K,-5.32%
07/01/1999,91.1,101.25,101.7,90.5,50.75K,-10.16%
06/01/1999,101.4,118.75,125,98.8,98.87K,-16.61%
05/01/1999,121.6,103.3,127,101,87.65K,17.15%
04/01/1999,103.8,110,110.5,95.5,78.46K,-5.38%
03/01/1999,109.7,104,113.35,99.5,86.46K,6.82%
02/01/1999,102.7,106,109,100.75,80.26K,-1.15%
01/01/1999,103.9,116.5,125,102.25,149.24K,-11.76%
12/01/1998,117.75,112.25,120.5,111,31.26K,4.85%
11/01/1998,112.3,112,129.25,108,89.08K,2.09%
10/01/1998,110,104.5,112.5,99.5,127.03K,4.61%
09/01/1998,105.15,120,123,98.75,45.70K,-13.10%
08/01/1998,121,128.1,137.4,110,75.31K,-6.35%
07/01/1998,129.2,110.25,129.5,107.5,61.41K,16.13%
06/01/1998,111.25,130.5,131,109.5,72.85K,-16.04%
05/01/1998,132.5,134.25,138,123,49.57K,-1.49%
04/01/1998,134.5,145.75,156.5,132.25,74.79K,-8.03%
03/01/1998,146.25,166,166,139.25,41.05K,-11.79%
02/01/1998,165.8,175.5,183,163,77.68K,-5.09%
01/01/1998,174.7,161.9,183.5,156,114.81K,7.54%
12/01/1997,162.45,162,193.25,154,30.56K,0.90%
11/01/1997,161,147.5,167.5,142.5,60.98K,8.31%
10/01/1997,148.65,162.5,171.5,146.1,104.57K,-8.52%
09/01/1997,162.5,192.5,212,160,40.65K,-15.14%
08/01/1997,191.5,184.5,209.75,164,52.54K,3.79%
07/01/1997,184.5,196.5,203,158,41.29K,-4.11%
06/01/1997,192.4,269,275,182.5,65.75K,-30.39%
05/01/1997,276.4,240,318,236.75,56.79K,15.62%
04/01/1997,239.05,189.75,240,172,89.51K,25.06%
03/01/1997,191.15,190.5,227.5,158.65,62.88K,0.39%
02/01/1997,190.4,141.1,192,139.75,94.67K,36.59%
01/01/1997,139.4,116.8,147.8,113.6,155.52K,19.25%
12/01/1996,116.9,115.4,133.7,109.3,41.20K,0.56%
11/01/1996,116.25,117.75,128.25,116,46.96K,-0.81%
10/01/1996,117.2,103.5,123,103.5,134.99K,13.84%
09/01/1996,102.95,126.5,126.75,102.25,37.04K,-19.79%
08/01/1996,128.35,106.25,138.5,105.4,63.47K,20.63%
07/01/1996,106.4,123.5,127.9,101.5,35.77K,-16.19%
06/01/1996,126.95,114.5,128.2,112.15,67.64K,9.35%
05/01/1996,116.1,126,131,115.7,46.06K,-7.19%
04/01/1996,125.1,115.45,134,111,75.14K,8.36%
03/01/1996,115.45,117.25,127.5,113.5,50.60K,-1.99%
02/01/1996,117.8,128,130.75,113.6,71.69K,-8.40%
01/01/1996,128.6,92.6,131.5,90.4,148.35K,35.51%
12/01/1995,94.9,107.5,109,93.15,31.37K,-11.88%
11/01/1995,107.7,121,130,107.15,66.51K,-11.39%
10/01/1995,121.55,120,129,111.5,120.98K,3.67%
09/01/1995,117.25,144,148,113.15,52.35K,-19.91%
08/01/1995,146.4,146,154.8,140.35,70.27K,0.48%
07/01/1995,145.7,130,152.8,120.5,51.82K,11.65%
06/01/1995,130.5,154.75,162,130.5,75.78K,-15.18%
05/01/1995,153.85,169.55,173.5,149,55.84K,-9.63%
04/01/1995,170.25,166.8,175.5,161.5,56.09K,2.38%
03/01/1995,166.3,180,187.25,161.6,47.25K,-8.12%
02/01/1995,181,155.35,184.5,150.75,66.91K,16.40%
01/01/1995,155.5,166.5,176.25,154,127.57K,-7.91%
12/01/1994,168.85,157,178,140,37.98K,7.45%
11/01/1994,157.15,188,195,152.5,63.90K,-16.14%
10/01/1994,187.4,212.25,215.75,179,126.88K,-10.27%
09/01/1994,208.85,206,232.5,204,54.71K,1.51%
08/01/1994,205.75,204.5,220,173.75,66.40K,1.48%
07/01/1994,202.75,197.25,263.5,183.75,56.01K,6.85%
06/01/1994,189.75,124.5,193,117.3,82.83K,50.60%
05/01/1994,126,89.8,145.5,88.8,62.45K,41.33%
04/01/1994,89.15,81.4,89.5,79.2,97.53K,8.45%
03/01/1994,82.2,74.8,83.9,73.9,46.85K,10.19%
02/01/1994,74.6,73.05,77.5,71.95,89.08K,3.11%
01/01/1994,72.35,71.45,75.85,70.55,128.17K,1.12%
12/01/1993,71.55,75.4,79,71.35,57.84K,-4.54%
11/01/1993,74.95,79.3,79.6,72,99.33K,-5.49%
10/01/1993,79.3,73.25,79.45,70.8,139.96K,6.44%
09/01/1993,74.5,74.75,82.2,71.65,69.53K,-1.13%
08/01/1993,75.35,78.2,80.1,66.25,90.49K,-1.57%
07/01/1993,76.55,59.75,77.9,59.5,43.63K,27.80%
06/01/1993,59.9,62.9,63.1,57,82.50K,-5.74%
05/01/1993,63.55,63.3,66.3,55.9,50.62K,0.08%
04/01/1993,63.5,57.6,63.5,51.7,66.60K,8.36%
